username,postshortcode,comment_id,comment,comment_likes_count,comment_time
ayush.__.swami,DEPy-EWvC5Q,18033550478436975,😂🔥🔥,0,2024-12-31 16:09:55
jyotinugariya_.15,DEPy-EWvC5Q,18047636693168539,She: baby i like Ariana_Grande 💅🏻 what is your favourite singer me: baby mai Pandit jii ke bhajan saneya karu ❤️👍🏻,0,2024-12-31 15:50:52
jyotinugariya_.15,DEPy-EWvC5Q,18286383610245355,💀 someone say's maine,0,2024-12-31 15:49:07
poppin.naksh,DEPy-EWvC5Q,18070587283679672,Cover 💀💀💀,0,2024-12-31 15:17:05
haryanealabandar,DEPy-EWvC5Q,18050765471024828,Mene 🖐🏻,2,2024-12-31 14:58:23
_bucket.__,DEM73Wwv9k_,18051375032091065,I didn't understand shit,0,2024-12-31 16:52:27
shubhh_chaubey,DEM73Wwv9k_,18494201989016352,😂,0,2024-12-31 11:13:01
abdul_rafhaaay,DEM73Wwv9k_,18257666269276964,Mera maa ka kanghan lala ka pass para ha😂😂,0,2024-12-31 10:59:33
abhijeet_thenuan,DEM73Wwv9k_,18114677845437255,,0,2024-12-31 10:56:02
04_dattu_04,DEM73Wwv9k_,18058044937755036,@am4n.xe 😂😂,1,2024-12-31 09:36:58
zorojuro_001_,DEM73Wwv9k_,18080767225521905,,0,2024-12-31 09:07:07
disha_singh2490,DEM73Wwv9k_,18052460584841351,😂😂,0,2024-12-31 08:59:05
lakshaythakrann,DEH_1Wzy1EC,18033669431576355,Me hu bekhof jat~ mipa narar,2,2024-12-29 02:49:04
vishalpasi944,DEH_1Wzy1EC,18077481046529078,😂😂😂😂,0,2024-12-28 19:45:52
ayush.__.swami,DEH_1Wzy1EC,18018894242391073,😂🔥🔥,0,2024-12-28 15:59:24
dungudhull,DEH_1Wzy1EC,17852525982361056,Gond ch nishana marnaga,1,2024-12-28 14:41:25
shubimehla,DEH_1Wzy1EC,18032663801414089,Meepa narar KAITHAL,1,2024-12-28 14:33:28
dakshtomarrr,DEH_1Wzy1EC,18363883069186253,Shindaa jatt😢,0,2024-12-28 14:22:47
_iucm,DEH_1Wzy1EC,17953685246897158,mst,0,2024-12-28 14:17:36
cavill_jat,DEH_1Wzy1EC,18061713577856328,🙌🙌,0,2024-12-28 14:16:47
cavill_jat,DEH_1Wzy1EC,17994493055725204,🔥🔥😂,2,2024-12-28 14:16:46
cavill_jat,DEH_1Wzy1EC,17971084508684035,Notty jat,1,2024-12-28 14:16:44
_virat__6969,DECwC6AvpQN,17953295003764278,😂😂😂,0,2024-12-30 06:13:29
cavill_jat,DECwC6AvpQN,17889449715118572,Avg Shy girl on internet,12,2024-12-26 14:07:31
_langvada,DD_QejuB6V0,18478644136056920,Na na chotee copy nhi laadle ☺️,2,2024-12-27 07:29:42
_sahil_kandola,DD_QejuB6V0,18011318414679811,❤️,0,2024-12-26 11:49:32
maasoom_dagar,DD_QejuB6V0,18072765850645815,😂,0,2024-12-25 13:51:27
whoisabhinav8k,DD_QejuB6V0,18015090386472327,Feminist thi,0,2024-12-25 11:13:03
nitinrapria1,DD_QejuB6V0,17850060933333522,Dada surajmal ki post ger,0,2024-12-25 04:54:23
ayush.__.swami,DD_QejuB6V0,18054331717969461,😂😂,0,2024-12-25 04:46:17
sanjeetsingh1280,DD9i5wzvWt3,17867450487269722,❌⛓️ hooke 🚬,0,2024-12-24 13:52:07
dungudhull,DD9i5wzvWt3,18023525072325677,"He is me , me is he",1,2024-12-24 13:16:31
dungudhull,DD9i5wzvWt3,17895339861107906,Chod gai ra gadgari,1,2024-12-24 13:16:02
cavill_jat,DD9i5wzvWt3,18261378958270904,Miss u sonia 😢,2,2024-12-24 12:51:27
aintsherry,DD69wL2vl-b,18015841574654727,😝☝🏼💯,0,2024-12-31 10:57:48
_kuhar_18,DD69wL2vl-b,18052884938050386,,1,2024-12-28 19:36:53
hrmn_khln,DD69wL2vl-b,18158130850336883,Aura,0,2024-12-27 12:55:34
a_harjeetsidhu,DD69wL2vl-b,18015965276442992,❤️❤️❤️❤️,0,2024-12-26 16:58:05
______parampreet,DD69wL2vl-b,18365009080138735,,5,2024-12-26 15:14:08
arshcheema.17,DD69wL2vl-b,17880379467206277,🐍💯,0,2024-12-26 09:08:21
